Feature,Importance
Ipsilateral_Rebound_Tenderness_No,0.13325231
Appendix_Diameter,0.084647365
Appendix_on_US_Yes,0.06165917
Appendix_on_US_No,0.055222854
Ipsilateral_Rebound_Tenderness_Missing,0.03953787
Surrounding_Tissue_Reaction_Yes,0.033627503
Peritonitis_No,0.031796113
Perfusion_Missing,0.031222224
Surrounding_Tissue_Reaction_Missing,0.029783033
Coprostasis_No,0.028813917
Appendicolith_Missing,0.019739829
Dysuria_Unknown,0.01956266
Appendicular_Abscess_Yes,0.01917168
Ipsilateral_Rebound_Tenderness_Unknown,0.018583518
Appendix_Diameter_Missing,0.01788814
CRP,0.015580537
Bowel_Wall_Thickening_Yes,0.013589709
Coprostasis_Unknown,0.013088535
Contralateral_Rebound_Tenderness_No,0.012771614
Nausea_No,0.012681797
